device_hostname,site,incident_count,avg_severity_score,total_cost_sek,avg_affected_users,avg_impact_score
SW-DC-TOR-02,Datacenter,4,3.5,86048.9,158.75,9.05
RT-LAGER-01,Lager,3,2.67,34901.15,35.67,6.8
SW-DR-01,Säkerhetskopia,3,1.33,5258.5,6.67,3.47
AP-FLOOR2-02,Huvudkontor,2,3,29111.0,63,8.45
RT-MAL-01,Kontor Malmö,2,2.5,28579.25,38.5,6.3
RT-DR-01,Säkerhetskopia,2,2.5,26912.5,10.5,7.0
AP-LAGER-02,Lager,2,3,22513.25,50.5,7.25
AP-MAL-01,Kontor Malmö,2,2.5,22134.5,39.5,6.25
FW-DC-01,Datacenter,2,3,14134.5,133.5,7.7
SW-LAGER-02,Lager,2,2.5,11679.5,43.5,6.9
FW-DR-01,Säkerhetskopia,2,2,9545.0,7.5,5.2
SW-CORE-01,Huvudkontor,2,2,7458.25,25.5,5.75
AP-LAGER-01,Lager,2,1.5,4357.25,15.5,4.4
SW-DC-TOR-01,Datacenter,2,1.5,4221.5,56,5.2
SW-ACCESS-03,Huvudkontor,1,4,45678.9,87,9.6
LB-DC-02,Datacenter,1,3,11234.25,198,8.4
SW-MAL-CORE-01,Kontor Malmö,1,3,9876.25,67,7.9
FW-DC-02,Datacenter,1,3,8765.5,145,7.7
RT-EDGE-02,Huvudkontor,1,3,8234.5,45,7.6
SW-ACCESS-05,Huvudkontor,1,3,6789.25,34,7.8
AP-MAL-02,Kontor Malmö,1,3,6543.5,43,7.4
SW-DC-CORE-01,Datacenter,1,2,5789.75,123,6.7
SW-DC-CORE-02,Datacenter,1,2,5234.75,234,6.8
SW-LAGER-01,Lager,1,2,4678.25,41,6.6
LB-DC-01,Datacenter,1,2,4567.25,78,6.3
AP-FLOOR3-01,Huvudkontor,1,2,4321.25,38,6.1
FW-DMZ-01,Huvudkontor,1,2,3456.9,52,6.4
SW-DIST-02,Huvudkontor,1,2,3123.0,29,5.9
SW-MAL-ACC-02,Kontor Malmö,1,2,2890.0,16,6.2
RT-EDGE-01,Huvudkontor,1,1,2156.25,12,4.1
SW-MAL-ACC-01,Kontor Malmö,1,2,2123.5,24,5.1
SW-DIST-01,Huvudkontor,1,1,1678.75,8,3.4
AP-FLOOR1-02,Huvudkontor,1,1,1345.75,15,3.8
FW-MAL-01,Kontor Malmö,1,1,567.5,23,2.1
